,newind,Cand_Name,Cand_Party_Affiliation,Cand_Incumbent_Challenger_Open_Seat,Total_Receipt,Total_Disbursement,Cash_On_Hand_COP,Coverage_End_Date,Party_Committee_Contribution,Cand_Contribution,Net_Operating_Expenditure,Cash_On_Hand_BOP,Coverage_Start_Date
68,FL15,"SPANO, VINCENT ROSS",REP,OPEN,935843.75,934198.85,1644.9,12/31/2018,0.0,0.0,914668.85,0.0,04/01/2018
851,FL15,"RABINOWITZ, JEFFREY G",DEM,OPEN,1733.0,1696.0,0.0,12/31/2018,0.0,1733.0,850.0,0.0,07/01/2017
966,FL16,"SCHNEIDER, JAN",DEM,CHALLENGER,81860.22,43637.14,54788.83,12/31/2018,0.0,1960.77,37612.14,16565.75,01/01/2017
7,FL16,"SHAPIRO, M. DAVID",DEM,CHALLENGER,2618549.15,2616315.52,2233.63,12/31/2018,5000.0,10200.0,2478559.04,0.0,10/01/2017
359,FL16,"SMYTH, ANDREW EDWARD",REP,CHALLENGER,100.0,100.0,-100.0,11/01/2017,0.0,100.0,0.0,0.0,01/01/2017
887,FL16,"BUCHANAN, VERNON",REP,INCUMBENT,2991634.45,4379661.84,79240.27,12/31/2018,0.0,0.0,4293347.01,1467267.66,01/01/2017
301,FL17,"AKINS, WILLIAM ALAN",REP,OPEN,32285.07,32285.07,0.0,12/31/2018,0.0,0.0,32127.1,0.0,10/01/2017
1276,FL17,"STEUBE, W. GREG",REP,OPEN,879106.19,694037.76,185068.43,12/31/2018,200.0,0.0,669037.76,0.0,01/01/2018
1912,FL17,"ELLISON, ALLEN L",DEM,CHALLENGER,3469.33,4189.53,917.72,12/31/2018,0.0,0.0,4187.86,1637.92,01/01/2017
1238,FL17,"GONZALEZ, JULIO",REP,OPEN,601425.64,593189.93,8235.71,12/31/2018,7000.0,2080.91,445939.93,0.0,01/01/2018
1946,FL17,"POLLARD, WILLIAM CYRUS MR. JR.",DEM,OPEN,13262.21,13054.91,207.3,09/30/2018,0.0,1948.99,13054.91,0.0,07/01/2017
202,FL17,"FREEMAN, APRIL JUNE",DEM,OPEN,28265.57,4283.15,0.0,08/08/2018,0.0,0.0,4283.15,20021.0,01/01/2017
1130,FL18,"SPALDING, CARLA ARLENE",IND,CHALLENGER,779003.61,779206.99,0.0,12/14/2018,0.0,0.0,766571.81,203.38,01/01/2017
1842,FL18,"FREEMAN, MARK BENJAMIN",REP,CHALLENGER,404299.41,406097.05,128.57,12/31/2018,0.0,138690.0,406087.64,1926.21,01/01/2017
122,FL18,"CUMMINGS, DAVE",REP,CHALLENGER,23262.0,17709.54,5552.46,06/30/2018,0.0,16040.0,17709.54,0.0,04/15/2018
115,FL18,"MAST, BRIAN",REP,INCUMBENT,6120277.95,6047403.46,167492.62,12/31/2018,0.0,0.0,5948960.22,94618.13,01/01/2017
999,FL18,"BAER, LAUREN",DEM,CHALLENGER,4603075.18,4599912.62,3162.56,12/31/2018,6770.32,11914.68,4524354.6,0.0,08/01/2017
2100,FL18,"KEITH, PAM",DEM,CHALLENGER,579298.42,572495.64,6802.78,12/31/2018,0.0,0.0,523178.61,0.0,03/13/2017
1909,FL19,"NEELD, ROBERT M. JR.",DEM,CHALLENGER,11493.46,11761.0,0.0,11/20/2018,0.0,11493.46,261.0,267.54,01/01/2017
200,FL19,"TRUAX, TODD JAMES MR.",DEM,CHALLENGER,15242.23,16172.54,-6362.18,08/08/2018,0.0,0.0,16172.54,0.0,07/04/2017
1474,FL19,"HOLDEN, DAVID",DEM,CHALLENGER,576623.82,557122.71,19501.11,12/31/2018,0.0,1826.0,556486.05,0.0,07/01/2017
1427,FL19,"ROONEY, FRANCIS",REP,INCUMBENT,1269159.67,927377.0,652138.65,12/31/2018,0.0,0.0,919950.64,310355.98,01/01/2017
1222,FL20,"CHERFILUS-MCCORMICK, SHEILA",DEM,CHALLENGER,39740.27,39164.27,-740.12,08/08/2018,0.0,13541.1,38968.84,0.0,04/01/2018
389,FL20,"BONNER, JAY ALAN",NNE,CHALLENGER,4479.95,5413.95,189.34,06/30/2018,0.0,0.0,4130.56,1123.34,01/01/2017
1519,FL20,"HASTINGS, ALCEE L",DEM,INCUMBENT,791931.45,829501.68,85531.9,12/31/2018,12500.0,0.0,703971.57,123102.13,01/01/2017
1857,FL21,"SCHWARTZ, DEREK A.",REP,CHALLENGER,86993.65,86993.65,0.0,05/14/2018,0.0,6563.65,31043.65,0.0,01/30/2018
21,FL21,"FRANKEL, LOIS J.",DEM,INCUMBENT,983333.91,828325.62,967075.88,12/31/2018,37.73,0.0,461299.92,812067.59,01/01/2017
129,FL21,"JETTA, KURT",REP,CHALLENGER,494717.67,494717.67,0.0,12/31/2018,0.0,129309.7,394362.21,0.0,09/28/2017
1064,FL22,"MANJARRES, JAVIER",REP,CHALLENGER,87122.16,87122.16,0.0,12/21/2018,0.0,5013.07,81922.16,0.0,04/01/2018
1290,FL22,"FANDL, JEFF",DEM,CHALLENGER,19863.68,26744.45,-6880.77,12/31/2018,0.0,0.0,19944.45,0.0,04/01/2018
694,FL22,"KIMAZ, NICOLAS T MR.",REP,CHALLENGER,202905.02,202834.66,70.36,12/31/2018,0.0,31097.48,201654.66,0.0,10/01/2017
1431,FL22,"DEUTCH, THEODORE ELIOT",DEM,INCUMBENT,1305988.06,1274589.63,360872.0,12/31/2018,0.0,0.0,948801.99,329473.57,01/01/2017
349,FL22,"WALTERS, EDDISON T",REP,CHALLENGER,14498.0,13904.92,1128.08,06/30/2018,0.0,0.0,12704.92,535.0,04/01/2018
1703,FL22,"SPAIN, PAUL DOUGLAS",REP,CHALLENGER,4970.0,5050.0,0.0,12/31/2018,0.0,0.0,3526.54,80.0,01/01/2017
267,FL23,"ENDRISS, DONALD",UNK,CHALLENGER,7617.55,7617.55,0.0,11/09/2018,0.0,117.55,7037.95,0.0,04/01/2018
2141,FL23,"CANOVA, TIMOTHY A.",IND,CHALLENGER,624386.0,640574.17,13837.05,12/31/2018,0.0,275.0,631853.31,30025.22,01/01/2017
695,FL23,"REYES, CARLOS JOSE JR.",REP,CHALLENGER,381353.09,380908.25,444.84,12/31/2018,0.0,4900.0,367769.77,0.0,07/01/2017
2090,FL23,"WASSERMAN SCHULTZ, DEBBIE",DEM,INCUMBENT,2233841.84,1986789.07,404213.88,12/31/2018,0.0,0.0,1724424.64,157161.11,01/01/2017
1882,FL23,"KAUFMAN, JOSEPH 'JOE'",REP,CHALLENGER,139860.83,499608.62,29333.01,12/31/2018,0.0,0.0,499608.62,389080.8,01/01/2017
486,FL24,"SOLA, LOUIS ERNEST",REP,CHALLENGER,99000.0,99000.0,0.0,01/01/2018,0.0,0.0,2500.0,0.0,04/17/2017
365,FL24,"WILSON, FREDERICA S.",DEM,INCUMBENT,369143.8,382581.89,329012.7,12/31/2018,0.0,0.0,382581.89,339950.79,01/01/2017
228,FL24,"DE LA FUENTE, RICARDO",DEM,CHALLENGER,74324.34,74324.34,0.0,09/30/2018,0.0,0.0,74212.04,0.0,04/01/2018
1813,FL25,"BARZEE FLORES, MARY",DEM,OPEN,2198498.23,2192832.69,8150.98,12/31/2018,0.0,0.0,2158097.86,0.0,07/01/2017
1025,FL25,"VALDES, ALINA IRENE MD",DEM,CHALLENGER,23900.32,23926.92,0.0,06/30/2018,0.0,0.0,3271.92,26.6,01/01/2017
801,FL25,"KARIM, ANNISA",DEM,CHALLENGER,26436.0,24350.0,2086.0,06/30/2018,0.0,0.0,830.0,0.0,04/01/2018
1643,FL25,"DIAZ-BALART, MARIO",REP,INCUMBENT,2295610.15,2639188.44,147163.89,12/31/2018,0.0,0.0,2584917.24,490742.18,01/01/2017
130,FL26,"MUCARSEL-POWELL, DEBBIE",DEM,CHALLENGER,4655422.3,4615604.83,39817.47,12/31/2018,14838.27,1000.0,4571151.64,0.0,08/01/2017
442,FL26,"CURBELO, CARLOS MR.",REP,INCUMBENT,5178884.51,5132355.79,89898.46,12/31/2018,0.0,0.0,4905884.79,43369.74,01/01/2017
899,FL26,"GRIMES, DEMETRIES A.",DEM,CHALLENGER,117816.32,117109.32,707.0,09/30/2018,0.0,2500.0,111609.32,0.0,01/01/2018
1920,FL26,"FAAS, SOURAYA",REP,CHALLENGER,10645.0,10645.0,0.0,12/31/2018,0.0,0.0,205.0,0.0,04/01/2018
488,FL26,"MACHAT, STEVEN",DEM,CHALLENGER,6328.18,6959.16,-630.98,12/31/2017,0.0,0.0,6959.16,0.0,10/01/2017
1476,FL27,"FERRER, GABRIEL",REP,OPEN,31929.53,34690.25,-2760.72,12/31/2018,0.0,0.0,23152.33,0.0,10/01/2017
1475,FL27,"RODRIGUEZ, JOSE JAVIER",DEM,OPEN,730743.08,547967.26,182775.82,12/31/2018,0.0,0.0,437854.76,0.0,06/21/2017
1929,FL27,"SALAZAR, MARIA ELVIRA",REP,OPEN,2069164.06,2056401.32,12762.74,12/31/2018,303816.22,0.0,2042401.32,0.0,01/01/2018
1776,FL27,"ADADI, ELIZABETH",REP,OPEN,27268.24,16636.28,0.86,08/28/2018,0.0,3304.12,16636.28,0.0,02/28/2018
1388,FL27,"SHALALA, DONNA",DEM,OPEN,4477267.6,4414481.03,62786.57,12/31/2018,0.0,36903.23,3914832.27,0.0,01/18/2018
1187,FL27,"BALAGUER, ARIADNA",REP,OPEN,59431.0,59431.0,0.0,10/05/2018,0.0,55450.0,59431.0,0.0,01/01/2018
892,FL27,"RODRIGUEZ-AGUILERA, BETTINA",REP,OPEN,86042.82,87171.46,-1128.64,09/30/2018,0.0,2511.82,87171.46,0.0,07/01/2017
1292,FL27,"RICHARDSON, DAVID",DEM,OPEN,2412963.27,2404691.37,8271.9,12/31/2018,0.0,10478.45,2079813.22,0.0,07/01/2017
1945,FL27,"HAGGMAN, MATTHEW W",DEM,OPEN,1447172.89,1444344.92,2827.97,12/31/2018,0.0,8100.0,1189420.53,0.0,07/01/2017
406,FL27,"HEPBURN, MICHAEL A.",DEM,OPEN,38399.23,38399.23,0.0,09/30/2018,0.0,2310.82,37529.23,0.0,01/23/2017
1104,FL27,"REGALADO, RAQUEL",REP,OPEN,21500.0,21500.0,0.0,01/26/2018,0.0,0.0,14058.89,0.0,07/01/2017
396,FL27,"CHIRINO, ANGIE",REP,OPEN,57344.58,54075.89,-10576.33,06/30/2018,0.0,0.0,54075.89,0.0,01/01/2018
491,FL27,"OHEVZION, MICHAEL",REP,OPEN,183070.0,183070.0,0.0,09/05/2018,0.0,68300.0,173794.92,0.0,01/01/2018
1001,FL27,"RUSSELL, KEN",DEM,OPEN,773910.67,759973.14,13937.53,12/31/2018,0.0,0.0,499357.77,0.0,04/01/2017
492,FL27,"JOLI, MAYRA",NPA,OPEN,76938.87,78129.14,143.74,12/31/2018,0.0,57975.7,78129.14,0.0,11/03/2017
1341,FL27,"MARKS, STEPHEN",REP,OPEN,450000.0,450000.0,0.0,09/17/2018,0.0,0.0,286922.05,0.0,01/01/2018
1553,FL27,"PEIRO, MARIA M",REP,OPEN,15501.32,14938.4,562.92,06/30/2018,0.0,0.0,14498.17,0.0,01/01/2017
131,FL27,"BARREIRO, BRUNO",REP,OPEN,578578.0,476373.14,102204.86,12/31/2018,0.0,0.0,472673.14,0.0,04/01/2017
253,FL27,"FUHRMAN, SCOTT",DEM,OPEN,121324.86,173477.55,838.61,06/30/2017,0.0,0.0,108540.11,52991.3,01/01/2017
951,FL27,"SOSA, GINA MS.",REP,OPEN,11462.66,11772.81,-310.15,09/15/2018,0.0,0.0,11772.81,0.0,01/01/2018
50,FL27,"ROSEN GONZALEZ, KRISTEN",DEM,OPEN,427448.57,403885.45,23863.12,12/31/2018,0.0,2720.0,396460.53,300.0,04/01/2017
1149,GA01,"CARTER, EARL LEROY",REP,INCUMBENT,2093065.4,1471407.53,1125192.17,12/31/2018,0.0,0.0,959391.8,503534.3,01/01/2017
1198,GA01,"RING, LISA M.",DEM,CHALLENGER,224120.32,205896.38,18145.08,12/31/2018,0.0,2025.0,205871.38,0.0,04/01/2017
1397,GA01,"SEIDMAN, BARBARA A",DEM,CHALLENGER,61668.0,56163.0,3086.0,05/29/2018,0.0,7522.0,56163.0,0.0,09/06/2017
1520,GA02,"BISHOP, SANFORD D",DEM,INCUMBENT,1119338.47,1224477.74,92978.85,12/31/2018,1000.0,0.0,1186896.93,198178.93,01/01/2017
1277,GA02,"MCPHERSON, BRUCE WILLIAM",REP,CHALLENGER,115084.79,115084.79,0.0,04/11/2018,2000.0,1000.0,93952.22,0.0,05/16/2017
579,GA02,"WEST, HERMAN JR.",REP,CHALLENGER,22549.0,17109.52,0.0,12/31/2018,0.0,0.0,17109.52,100.0,05/01/2017
2033,GA03,"OLIVER, MELVIN RUSSELL MR.",DEM,CHALLENGER,15871.18,15621.62,250.17,12/31/2018,0.0,0.0,15021.62,0.0,07/15/2017
1365,GA03,"FERGUSON, ANDERSON DREW IV",REP,INCUMBENT,1259003.78,1186339.75,114786.79,12/31/2018,0.0,0.0,1009604.75,42122.76,01/01/2017
280,GA03,"SINGLETON, PHILIP JERALD",REP,CHALLENGER,20752.84,17068.47,0.0,07/03/2018,0.0,751.84,17068.47,0.0,04/01/2017
64,GA03,"ENDERLIN, CHARLES JOSEPH JR.",DEM,CHALLENGER,55647.13,55647.13,0.0,12/06/2018,0.0,5307.25,55647.13,0.0,04/01/2017
533,GA04,"GUILLORY, RYAN MR.",DEM,CHALLENGER,120.05,0.0,120.05,12/31/2017,0.0,0.0,0.0,0.0,07/01/2017
1835,GA04,"PARKS, JUAN",DEM,CHALLENGER,14685.0,13061.0,1624.0,03/31/2018,0.0,10920.0,14233.0,0.0,01/01/2017
458,GA04,"JOHNSON, HENRY C. 'HANK",DEM,INCUMBENT,482857.19,508416.01,44456.62,12/31/2018,0.0,0.0,401776.01,70015.44,01/01/2017
580,GA04,"PROFIT, JOSEPH",REP,CHALLENGER,81618.47,82033.52,5727.15,12/31/2018,0.0,0.0,82033.52,0.0,03/01/2018
459,GA05,"LEWIS, JOHN R.",DEM,INCUMBENT,3986261.73,2068963.45,2135382.89,12/31/2018,0.0,0.0,1424573.85,218184.61,01/01/2017
755,GA06,"ABROMS, DAVID",REP,OPEN,289963.29,289963.29,0.0,06/30/2017,0.0,0.0,288850.87,0.0,02/15/2017
1252,GA06,"HARRELL, SALLY --",DEM,CHALLENGER,15566.56,24687.8,0.0,12/31/2017,0.0,0.0,2464.8,9121.4,01/01/2017
187,GA06,"GRAY, BOB",REP,OPEN,834972.21,834904.0,68.21,12/31/2018,0.0,5600.0,748781.54,0.0,01/27/2017
45,GA06,"MCBATH, LUCIA KAY MS.",DEM,CHALLENGER,2704006.03,2485321.68,218684.35,12/31/2018,5000.0,25.0,2454836.39,0.0,01/01/2018
1411,GA06,"HANDEL, KAREN CHRISTINE",REP,INCUMBENT,8772986.85,8685297.45,87689.4,12/31/2018,10884.83,100.0,8143690.49,0.0,01/01/2017
583,GA06,"LEVELL, BRUCE E",REP,CHALLENGER,65531.0,60014.96,0.0,09/30/2017,0.0,0.0,58864.96,0.0,01/26/2017
555,GA06,"MCLAURIN, JOSHUA IVAN",DEM,CHALLENGER,267.0,43735.39,0.0,03/14/2017,0.0,0.0,8552.17,43468.39,01/01/2017
949,GA06,"HILL, JUDSON",REP,OPEN,821466.37,821466.37,0.0,09/05/2017,0.0,8068.69,810655.52,0.0,12/14/2016
211,GA06,"WILSON, KURT",REP,CHALLENGER,339444.67,339444.67,0.0,05/09/2017,0.0,0.0,338470.66,0.0,01/01/2017
1758,GA06,"ABEL, KEVIN",DEM,CHALLENGER,898580.07,898580.07,0.0,12/31/2018,0.0,0.0,845918.67,0.0,10/01/2017
707,GA06,"KREMER, AMY",REP,OPEN,19852.0,17583.34,2268.66,12/31/2018,0.0,0.0,17583.34,0.0,01/01/2017
2062,GA06,"KEATLEY, RICHARD",DEM,CHALLENGER,58408.42,59799.32,0.0,12/31/2018,0.0,0.0,58032.82,0.0,01/01/2017
320,GA06,"HERNANDEZ, ALEXANDER MR.",IND,OPEN,5716.0,6030.54,0.0,06/30/2017,0.0,3800.0,6030.54,314.54,01/01/2017
987,GA06,"GRAWERT, KEITH JOSEPH",REP,OPEN,52673.79,79673.79,-27000.0,12/31/2017,0.0,233.79,49683.79,0.0,01/01/2017
201,GA06,"POLLARD, ANDRE COLIN",IND,CHALLENGER,5250.0,5250.0,0.0,09/30/2018,0.0,0.0,5250.0,0.0,01/01/2017
352,GA06,"SLOTIN, RONALD DAVID",DEM,OPEN,81279.8,90256.15,-8976.35,04/27/2017,0.0,0.0,90256.15,0.0,12/01/2016
516,GA06,"BHUIYAN, MOHAMMAD ALI",REP,CHALLENGER,35035.0,33889.09,1145.91,07/15/2017,0.0,0.0,29762.29,0.0,01/01/2017
354,GA06,"KAPLE, BOBBY",DEM,CHALLENGER,693572.44,691240.02,2981.93,12/31/2018,0.0,0.0,614987.33,0.0,09/28/2017
1135,GA06,"MOODY, DAN",REP,OPEN,3207231.28,3207231.28,0.0,06/07/2018,0.0,0.0,3138998.96,0.0,01/16/2017
393,GA06,"OSSOFF, T. JONATHAN",DEM,OPEN,31605071.08,31212595.64,392475.44,12/31/2018,445.2,50000.0,29173079.14,0.0,12/21/2016
708,GA06,"GRIFFIN, STEVEN KNIGHT",DEM,CHALLENGER,12303.07,12001.89,301.18,12/31/2018,0.0,0.0,9401.89,0.0,01/01/2018
614,GA07,"REILLY, STEVEN M.",DEM,CHALLENGER,47342.66,47342.66,0.0,09/30/2018,0.0,9216.1,46842.66,0.0,04/01/2017
453,GA07,"WOODALL, ROB REP.",REP,INCUMBENT,1238079.16,1514245.52,47287.29,12/31/2018,3500.0,0.0,1375135.62,323453.65,01/01/2017
155,GA07,"KIM, DAVID",DEM,CHALLENGER,1547808.5,1530872.22,16986.28,12/31/2018,0.0,478388.88,1462840.1,0.0,04/01/2017
709,GA07,"BOURDEAUX, CAROLYN",DEM,CHALLENGER,2943199.78,2801216.29,141933.49,12/31/2018,5000.0,4486.47,2692403.04,0.0,07/05/2017
2063,GA07,"DAVIS, MELISSA",DEM,CHALLENGER,66192.42,66192.42,0.0,12/31/2018,0.0,0.0,66192.42,0.0,07/01/2017
1082,GA07,"PHAM, ETHAN",DEM,CHALLENGER,449570.44,449515.53,54.91,06/30/2018,0.0,15255.0,429033.97,0.0,07/01/2017
234,GA07,"ALLEN, KATHLEEN",DEM,CHALLENGER,96833.08,71827.82,0.0,09/30/2018,0.0,0.0,67815.82,0.0,04/01/2017
158,GA07,"HAZEL, SHANE",REP,CHALLENGER,59579.13,59579.13,0.0,06/29/2018,0.0,0.0,59476.57,0.0,07/01/2017
283,GA08,"ELLYSON, DANIEL",REP,CHALLENGER,1226.6,609.09,437.58,12/31/2018,0.0,0.0,609.09,0.0,06/01/2017
457,GA08,"SCOTT, JAMES AUSTIN",REP,INCUMBENT,819909.01,674270.38,560943.86,12/31/2018,0.0,0.0,435139.87,415305.23,01/01/2017
2068,GA08,"SWANN, WILLIE F MR.",DEM,CHALLENGER,13675.18,11635.8,2039.38,12/31/2018,0.0,0.0,11635.8,0.0,07/01/2017
823,GA09,"MCCALL, JOSHUA BRAXTON",DEM,CHALLENGER,101015.51,94468.6,5505.69,12/31/2018,4700.0,132.0,88318.6,0.0,04/01/2017
277,GA09,"GILMER, ROBIN AARON MR",LIB,CHALLENGER,5720.0,5720.0,0.0,10/15/2018,3915.0,1805.0,5720.0,0.0,03/06/2018
997,GA09,"COOPER, DAVE",DEM,CHALLENGER,39593.31,28841.84,10751.47,05/02/2018,58.0,0.0,28841.84,0.0,01/01/2018
30,GA09,"COLLINS, DOUGLAS ALLEN",REP,INCUMBENT,1415137.02,758333.4,853081.48,12/31/2018,663.98,0.0,677043.69,196277.86,01/01/2017
165,GA10,"WINFIELD, RICHARD DIEN",DEM,CHALLENGER,119100.64,128039.31,-8938.67,06/25/2018,0.0,0.0,125156.31,0.0,07/01/2017
743,GA10,"MOOREHEAD, PATRICK",IND,CHALLENGER,70.0,54.0,16.0,12/07/2017,0.0,0.0,54.0,0.0,07/01/2017
1983,GA10,"HUNT, JOSEPH WILLIAM MR.",REP,CHALLENGER,14050.0,13443.8,606.2,05/23/2018,0.0,1500.0,13337.9,0.0,07/01/2017
2069,GA10,"JOHNSON-GREEN, TABITHA",DEM,CHALLENGER,24773.15,23591.44,1181.71,12/31/2018,0.0,5280.0,18296.44,0.0,01/01/2018
955,GA10,"HICE, JODY",REP,INCUMBENT,663118.3,623056.89,111617.99,12/31/2018,0.0,0.0,564306.89,71556.58,01/01/2017
824,GA10,"MONTGOMERY, CHALIS POMEROY",DEM,CHALLENGER,99811.3,98757.45,-1652.61,12/31/2018,0.0,140.34,98727.15,0.0,07/01/2017
252,GA10,"GRIFFIN, BRADLEY WILLIAM",REP,CHALLENGER,10750.0,10739.47,10.53,05/02/2018,0.0,0.0,10739.47,0.0,01/01/2018
369,GA11,"LLOP, WILLIAM",REP,OPEN,2500.0,24895.51,231911.67,03/29/2017,0.0,0.0,24895.51,254307.18,01/01/2017
1704,GA11,"LOUDERMILK, BARRY",REP,INCUMBENT,849040.16,664052.54,195915.3,12/31/2018,1000.0,0.0,620232.83,10927.68,01/01/2017
720,GA11,"BROADY, FLYNN D. JR.",DEM,CHALLENGER,50187.0,47106.01,17.99,12/31/2018,0.0,5995.0,25735.18,0.0,01/01/2018
382,GA11,"WYNN, QUENTIN ADAM",DEM,CHALLENGER,22532.59,9454.29,2331.62,04/15/2018,0.0,0.0,5000.0,0.0,01/01/2017
128,GA12,"ALLEN, RICHARD W",REP,INCUMBENT,1124623.91,1149262.52,80757.79,12/31/2018,0.0,0.0,1064887.36,105396.4,01/01/2017
1628,GA12,"NESMITH, MICHAEL",DEM,CHALLENGER,39939.03,38673.98,232.8,05/02/2018,0.0,100.0,38383.98,-1032.25,07/21/2017
1864,GA12,"INGHAM, ROBERT FRANCIS MR JR",DEM,CHALLENGER,5879.0,0.0,,06/30/2018,0.0,499.0,0.0,0.0,01/01/2018
1414,GA12,"YU, EUGENE MR.",REP,CHALLENGER,73610.0,30196.16,36907.74,12/31/2018,0.0,0.0,23996.16,0.0,07/01/2016
827,GA12,"JOHNSON, FRANCYS",DEM,CHALLENGER,282355.12,282355.12,0.0,12/31/2018,5923.15,20379.69,273352.22,0.0,01/01/2018
1024,GA13,"NEWLAND, K. ROSS",REP,CHALLENGER,125.0,125.0,0.0,04/13/2018,0.0,0.0,125.0,0.0,01/01/2018
1883,GA13,"SCOTT, DAVID ALBERT",DEM,INCUMBENT,1101294.88,1082428.34,375977.64,12/31/2018,39.83,0.0,1058029.79,357111.1,01/01/2017
428,GA13,"COWEN, MARTIN LINDSEY MR. III",LIB,CHALLENGER,23441.51,23358.21,83.3,12/31/2018,345.0,1842.0,20148.7,0.0,07/01/2017
1491,GA13,"CALLAHAN, DAVID ALAN",REP,CHALLENGER,17832.0,18513.0,0.0,11/20/2018,250.0,0.0,11811.0,0.0,01/01/2018
817,GA14,"FOSTER, STEVEN",DEM,CHALLENGER,12736.0,8086.0,4650.0,12/31/2018,560.0,0.0,1597.0,0.0,01/01/2018
1121,GA14,"GRAVES, JOHN THOMAS MR. JR.",REP,INCUMBENT,2084074.97,1019273.24,1944503.48,12/31/2018,0.0,0.0,953025.06,879701.75,01/01/2017
1884,GU01,"BORDALLO, MADELEINE Z. MS.",DEM,INCUMBENT,163165.0,170486.01,11396.74,12/31/2018,0.0,0.0,93514.01,18717.75,01/01/2017
1539,GU01,"SAN NICOLAS, MICHAEL F.Q. MR.",DEM,CHALLENGER,147238.52,88734.32,61913.78,12/31/2018,0.0,1500.0,43071.83,2419.58,01/01/2018
934,GU01,"BROOKS, DORIS FLORES",REP,CHALLENGER,150379.0,138694.66,11684.34,11/26/2018,0.0,15000.0,138694.66,0.0,04/01/2018
2077,HI01,"CAVASSO, CAMPBELL",REP,OPEN,156883.78,155400.37,1483.41,12/31/2018,10200.0,2725.0,154315.37,0.0,06/04/2018
1137,HI01,"MARTIN, ERNEST YORIHIKO",DEM,OPEN,393973.0,393973.0,0.0,10/31/2018,0.0,0.0,335488.0,0.0,01/01/2018
822,HI01,"ING, MARK KANIELA",DEM,OPEN,410418.88,402343.32,8075.56,12/31/2018,0.0,0.0,395773.82,0.0,10/01/2017
826,HI01,"CHIN, DOUG",DEM,OPEN,604230.6,597273.06,6957.54,12/31/2018,0.0,354.9,568149.72,0.0,10/01/2017
464,HI01,"KIM, DONNA MERCADO",DEM,OPEN,721399.31,716253.8,5142.51,12/31/2018,0.0,1303.0,639773.31,0.0,10/01/2017
1040,HI01,"CASE, EDWARD",DEM,,563845.39,482824.33,81021.06,12/31/2018,0.0,0.0,482674.33,0.0,04/01/2018
2078,HI01,"FUKUMOTO, BETH",DEM,OPEN,86895.26,85979.43,0.0,12/31/2018,0.0,5.0,84364.43,0.0,02/28/2018
706,HI02,"ALU CAMPAGNA, SHERYL FRANCYS",DEM,CHALLENGER,31248.0,28627.49,200.0,09/30/2018,0.0,0.0,28077.49,0.0,10/01/2017
1337,HI02,"AUSTIN, ANTHONY TONY",DEM,CHALLENGER,655.0,644.47,10.53,09/24/2018,0.0,130.0,602.55,0.0,01/01/2018
1866,HI02,"GABBARD, TULSI",DEM,INCUMBENT,1421020.43,1452102.58,2016417.9,12/31/2018,0.0,0.0,1372243.7,2047500.05,01/01/2017
2085,IA01,"RAMSEY, GEORGE",DEM,CHALLENGER,71612.69,65040.17,6572.52,12/31/2018,0.0,0.0,65040.17,0.0,07/01/2017
1282,IA01,"HECKROTH, THOMAS",DEM,CHALLENGER,340829.68,340829.68,0.0,09/30/2018,0.0,1623.41,315089.45,0.0,07/01/2017
32,IA01,"BLUM, RODNEY",REP,INCUMBENT,2814962.02,2774877.78,87651.4,12/31/2018,0.0,1246.68,2050779.15,47567.16,01/01/2017
1608,IA01,"ROWE, COURTNEY L MRS.",DEM,CHALLENGER,16287.32,16287.32,0.0,10/12/2018,0.0,1776.46,16237.32,0.0,04/01/2017
1316,IA01,"FINKENAUER, ABBY",DEM,CHALLENGER,4601774.98,4572791.56,28983.42,12/31/2018,15000.0,0.0,4563111.41,0.0,04/01/2017
217,IA02,"CALIGIURI, GINNY",REP,CHALLENGER,61852.15,61852.15,0.0,10/18/2018,0.0,16137.21,56202.15,0.0,01/01/2018
1845,IA02,"PETERS, CHRISTOPHER",REP,CHALLENGER,846951.16,853952.41,773.11,12/31/2018,8850.0,10000.0,447719.82,7774.36,01/01/2017
1096,IA02,"LOEBSACK, DAVID WAYNE",DEM,INCUMBENT,2062525.8,2354379.5,668853.44,12/31/2018,12010.13,0.0,1909959.5,960707.14,01/01/2017
677,IA03,"RYON, ANNA",DEM,CHALLENGER,5996.49,5996.49,0.0,07/18/2017,0.0,0.0,5746.49,0.0,03/01/2017
1839,IA03,"MAURO, EDDIE J.",DEM,CHALLENGER,823982.45,795460.82,28521.63,12/31/2018,0.0,56030.0,773497.37,0.0,07/01/2017
681,IA03,"RYAN, HEATHER A",DEM,CHALLENGER,505.0,182.71,322.29,09/30/2017,0.0,0.0,182.71,0.0,07/01/2017
2134,IA03,"AXNE, CINDY",DEM,CHALLENGER,5243411.69,5223872.91,19538.78,12/31/2018,22630.0,7082.3,5163765.75,0.0,04/01/2017
1144,IA03,"GREENFIELD, THERESA",DEM,CHALLENGER,404105.82,365861.42,38244.4,12/31/2018,0.0,12396.37,240212.42,0.0,07/01/2017
467,IA03,"YOUNG, DAVID",REP,INCUMBENT,2842345.87,2913630.99,12799.7,12/31/2018,200.0,5400.0,2787012.19,84084.82,01/01/2017
101,IA03,"SHERZAN, MICHAEL THOMAS",DEM,CHALLENGER,60712.29,60712.29,0.0,06/30/2017,0.0,36545.3,37276.56,0.0,01/01/2017
